iter	Passed	Remaining
0	0	59
1	1	52
2	1	50
3	2	48
4	2	47
5	2	46
6	3	45
7	3	45
8	4	45
9	5	45
10	5	45
11	6	44
12	6	43
13	7	43
14	7	42
15	7	41
16	8	41
17	8	40
18	9	39
19	9	39
20	10	38
21	10	38
22	11	37
23	11	36
24	12	36
25	12	35
26	13	35
27	13	34
28	13	33
29	14	33
30	14	32
31	15	32
32	15	31
33	16	31
34	16	30
35	16	29
36	17	29
37	17	28
38	18	28
39	18	27
40	19	27
41	19	26
42	20	26
43	20	26
44	20	25
45	21	25
46	21	24
47	22	24
48	22	23
49	23	23
50	23	22
51	24	22
52	24	21
53	25	21
54	25	20
55	26	20
56	26	19
57	26	19
58	27	19
59	27	18
60	28	18
61	28	17
62	29	17
63	29	16
64	30	16
65	30	15
66	31	15
67	31	14
68	32	14
69	32	13
70	32	13
71	33	13
72	33	12
73	34	12
74	34	11
75	35	11
76	35	10
77	36	10
78	36	9
79	37	9
80	37	8
81	38	8
82	38	7
83	39	7
84	39	6
85	40	6
86	40	6
87	40	5
88	41	5
89	41	4
90	42	4
91	42	3
92	43	3
93	43	2
94	44	2
95	44	1
96	45	1
97	45	0
98	45	0
99	46	0
