iter	Passed	Remaining
0	143	143225
1	143	71794
2	144	47967
3	144	36056
4	145	28907
5	145	24136
6	146	20730
7	146	18176
8	147	16192
9	147	14601
10	147	13300
11	148	12215
12	148	11308
13	149	10521
14	149	9839
15	150	9258
16	151	8734
17	151	8269
18	152	7849
19	152	7471
20	152	7131
21	153	6820
22	153	6536
23	154	6275
24	154	6035
25	155	5813
26	155	5607
27	156	5417
28	156	5239
29	156	5073
30	157	4919
31	157	4774
32	158	4637
33	158	4510
34	159	4389
35	159	4274
36	160	4168
37	160	4068
38	161	3971
39	161	3878
40	162	3790
41	162	3706
42	162	3626
43	163	3549
44	163	3476
45	164	3410
46	165	3345
47	165	3288
48	166	3228
49	166	3169
50	167	3113
51	167	3058
52	168	3005
53	168	2954
54	169	2906
55	169	2859
56	170	2814
57	170	2770
58	171	2727
59	171	2686
60	171	2646
61	172	2607
62	172	2570
63	173	2534
64	173	2498
65	174	2464
66	174	2431
67	175	2399
68	175	2368
69	175	2337
70	176	2308
71	176	2279
72	177	2251
73	177	2224
74	178	2198
75	178	2173
76	179	2147
77	179	2122
78	180	2099
79	180	2075
80	180	2053
81	181	2031
82	181	2006
83	182	1985
84	182	1965
85	183	1945
86	183	1925
87	183	1906
88	184	1887
89	184	1868
90	185	1850
91	185	1832
92	186	1814
93	186	1797
94	186	1780
95	187	1764
96	187	1748
97	188	1732
98	188	1717
99	189	1702
100	189	1687
101	190	1673
102	190	1659
103	190	1645
104	191	1631
105	191	1617
106	192	1604
107	192	1592
108	193	1579
109	193	1567
110	194	1554
111	194	1542
112	195	1531
113	195	1519
114	196	1508
115	196	1498
116	196	1486
117	197	1475
118	197	1464
119	198	1453
120	198	1443
121	199	1432
122	199	1422
123	200	1413
124	200	1404
125	201	1395
126	201	1385
127	202	1376
128	202	1368
129	203	1359
130	203	1350
131	204	1342
132	204	1333
133	205	1325
134	205	1316
135	205	1308
136	206	1301
137	207	1293
138	207	1285
139	208	1278
140	208	1270
141	208	1261
142	209	1254
143	209	1246
144	210	1240
145	210	1233
146	211	1226
147	211	1219
148	212	1212
149	212	1205
150	213	1199
151	213	1192
152	214	1185
153	214	1179
154	215	1173
155	215	1166
156	216	1160
157	216	1154
158	217	1147
159	217	1141
160	217	1134
161	218	1128
162	218	1122
163	219	1116
164	219	1110
165	219	1104
166	220	1100
167	221	1095
168	221	1090
169	222	1085
170	222	1080
171	223	1075
172	223	1070
173	224	1065
174	224	1059
175	225	1054
176	225	1049
177	226	1044
178	226	1039
179	227	1034
180	227	1029
181	228	1025
182	228	1020
183	228	1015
184	229	1010
185	229	1006
186	230	1001
187	230	996
188	231	992
189	231	987
190	232	983
191	232	978
192	232	974
193	233	969
194	233	965
195	234	961
196	235	957
197	235	954
198	236	951
199	236	947
200	237	942
201	237	938
202	238	934
203	238	930
204	239	926
205	239	923
206	239	919
207	240	915
208	240	912
209	241	908
210	241	904
211	242	900
212	242	896
213	243	893
214	243	889
215	244	885
216	244	882
217	244	878
218	245	875
219	245	871
220	246	868
221	246	865
222	247	861
223	247	858
224	248	854
225	248	852
226	249	848
227	249	845
228	250	842
229	250	839
230	251	836
231	251	832
232	252	829
233	252	826
234	252	823
235	253	820
236	253	817
237	254	814
238	254	811
239	255	807
240	255	804
241	256	801
242	256	798
243	256	796
244	257	793
245	257	790
246	258	787
247	258	784
248	259	781
249	259	778
250	260	776
251	260	773
252	261	770
253	261	768
254	261	765
255	262	762
256	262	759
257	263	757
258	263	755
259	264	752
260	264	750
261	265	747
262	266	745
263	266	743
264	267	740
265	267	738
266	268	735
267	268	733
268	269	731
269	269	728
270	269	726
271	270	723
272	270	721
273	271	719
274	272	717
275	272	715
276	273	712
277	273	710
278	274	708
279	274	705
280	274	703
281	275	701
282	275	699
283	276	696
284	276	694
285	277	692
286	277	690
287	278	688
288	279	686
289	279	684
290	280	682
291	280	680
292	281	678
293	281	676
294	282	674
295	282	672
296	283	671
297	284	669
298	284	667
299	285	665
300	285	663
301	286	661
302	286	659
303	287	657
304	287	655
305	288	653
306	288	651
307	289	649
308	289	647
309	290	645
310	290	643
311	291	641
312	291	640
313	292	638
314	292	636
315	293	634
316	293	632
317	294	631
318	294	629
319	295	627
320	295	625
321	296	624
322	296	622
323	297	620
324	297	618
325	298	616
326	298	614
327	299	612
328	299	611
329	300	609
330	300	607
331	301	605
332	301	604
333	302	602
334	302	600
335	303	598
336	303	597
337	304	595
338	304	593
339	305	592
340	305	590
341	306	589
342	306	587
343	307	585
344	307	583
345	307	582
346	308	580
347	308	578
348	309	577
349	309	575
350	310	573
351	310	572
352	311	570
353	311	569
354	312	567
355	312	565
356	313	564
357	313	562
358	314	561
359	314	559
360	315	558
361	315	556
362	316	555
363	316	553
364	317	552
365	317	550
366	318	549
367	318	547
368	319	546
369	319	544
370	320	543
371	321	542
372	321	540
373	322	539
374	322	537
375	323	536
376	323	534
377	324	533
378	324	531
379	324	530
380	325	528
381	325	527
382	326	525
383	326	524
384	327	522
385	327	521
386	328	520
387	328	518
388	329	517
389	329	515
390	330	514
391	330	512
392	331	511
393	331	509
394	331	508
395	332	507
396	332	505
397	333	504
398	333	502
399	334	501
400	334	500
401	335	498
402	335	497
403	336	495
404	336	494
405	336	493
406	337	491
407	337	490
408	338	489
409	338	487
410	339	486
411	339	485
412	340	483
413	340	482
414	341	481
415	341	480
416	342	478
417	342	477
418	343	476
419	343	474
420	344	473
421	345	472
422	345	471
423	346	470
424	346	468
425	347	467
426	347	466
427	348	465
428	348	464
429	349	462
430	349	461
431	349	460
432	350	458
433	350	457
434	351	456
435	351	454
436	352	453
437	352	452
438	352	451
439	353	449
440	354	448
441	354	447
442	354	446
443	355	445
444	355	443
445	356	442
446	356	441
447	357	440
448	357	438
449	358	437
450	358	436
451	359	435
452	359	434
453	360	433
454	360	431
455	361	430
456	361	429
457	362	428
458	363	427
459	363	426
460	363	425
461	364	424
462	364	423
463	365	422
464	365	420
465	366	420
466	366	418
467	367	417
468	367	416
469	368	415
470	368	414
471	369	412
472	369	411
473	370	410
474	370	409
475	370	408
476	371	407
477	371	406
478	372	404
479	372	403
480	373	402
481	373	401
482	373	400
483	374	399
484	374	398
485	375	396
486	375	395
487	376	394
488	376	393
489	377	392
490	377	391
491	378	390
492	378	389
493	379	388
494	379	387
495	380	386
496	380	385
497	381	384
498	381	383
499	382	382
500	382	380
501	382	379
502	383	378
503	383	377
504	384	376
505	385	375
506	385	374
507	386	373
508	386	372
509	387	371
510	387	370
511	388	370
512	388	369
513	389	368
514	390	367
515	390	366
516	391	365
517	391	364
518	392	363
519	392	362
520	393	361
521	393	360
522	394	359
523	394	358
524	394	357
525	395	356
526	395	355
527	396	354
528	396	353
529	397	352
530	397	351
531	398	350
532	398	349
533	399	348
534	399	347
535	399	346
536	400	345
537	400	344
538	401	343
539	401	342
540	402	341
541	402	340
542	403	339
543	403	338
544	404	337
545	404	336
546	405	335
547	405	334
548	406	333
549	406	332
550	407	331
551	407	331
552	408	330
553	408	329
554	409	328
555	409	327
556	410	326
557	410	325
558	411	324
559	411	323
560	412	322
